sepaSite,date,weeklyAverageAf,actualBiomassOnSiteTonnes,maximumBiomassAllowedTonnes,total_AF
SAR1,2017-08-07,0.14,824.1612903225806,1500,50400.00000000001
SAR1,2017-08-08,0.14,819.3548387096774,1500,50400.00000000001
SAR1,2017-08-09,0.14,814.5483870967741,1500,50400.00000000001
SAR1,2017-08-10,0.14,809.741935483871,1500,50400.00000000001
SAR1,2017-08-11,0.14,804.9354838709678,1500,50400.00000000001
SAR1,2017-08-12,0.14,800.1290322580645,1500,50400.00000000001
SAR1,2017-08-13,0.14,795.3225806451613,1500,50400.00000000001
SAR1,2017-08-14,0.1385714285714286,790.516129032258,1500,49885.71428571429
SAR1,2017-08-15,0.13714285714285715,785.7096774193549,1500,49371.42857142857
SAR1,2017-08-16,0.13571428571428573,780.9032258064516,1500,48857.14285714286
SAR1,2017-08-17,0.13428571428571429,776.0967741935484,1500,48342.85714285714
SAR1,2017-08-18,0.13285714285714287,771.2903225806451,1500,47828.571428571435
SAR1,2017-08-19,0.13142857142857142,766.483870967742,1500,47314.28571428571
SAR1,2017-08-20,0.13,761.6774193548387,1500,46800
SAR1,2017-08-21,0.1285714285714286,756.8709677419355,1500,46285.71428571429
SAR1,2017-08-22,0.12714285714285714,752.0645161290323,1500,45771.42857142857
SAR1,2017-08-23,0.12571428571428572,747.258064516129,1500,45257.14285714286
SAR1,2017-08-24,0.12428571428571428,742.4516129032259,1500,44742.85714285714
SAR1,2017-08-25,0.12285714285714286,737.6451612903226,1500,44228.57142857143
SAR1,2017-08-26,0.12142857142857144,732.8387096774194,1500,43714.28571428572
SAR1,2017-08-27,0.12,728.0322580645161,1500,43200
SAR1,2017-08-28,0.12,723.2258064516129,1500,43200
SAR1,2017-08-29,0.12,718.4193548387098,1500,43200
SAR1,2017-08-30,0.12,713.6129032258065,1500,43200
SAR1,2017-08-31,0.12,708.8064516129032,1500,43200
SAR1,2017-09-01,0.12,704,1500,43200
SAR1,2017-09-02,0.12,701.5,1500,43200
SAR1,2017-09-03,0.12,699,1500,43200
SAR1,2017-09-04,0.12,696.5,1500,43200
SAR1,2017-09-05,0.12,694,1500,43200
SAR1,2017-09-06,0.12,691.5,1500,43200
SAR1,2017-09-07,0.12,689,1500,43200
SAR1,2017-09-08,0.12,686.5,1500,43200
SAR1,2017-09-09,0.12,684,1500,43200
SAR1,2017-09-10,0.12,681.5,1500,43200
SAR1,2017-09-11,0.12142857142857144,679,1500,43714.28571428572
SAR1,2017-09-12,0.12285714285714286,676.5,1500,44228.57142857143
SAR1,2017-09-13,0.12428571428571428,674,1500,44742.85714285714
SAR1,2017-09-14,0.12571428571428572,671.5,1500,45257.14285714286
SAR1,2017-09-15,0.12714285714285714,669,1500,45771.42857142857
SAR1,2017-09-16,0.1285714285714286,666.5,1500,46285.71428571429
